ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates,iso_region_len
00AA,small_airport,Aero B Ranch Airport,3435.0,,US,US-KS,LEOTI,00AA,,00AA,"-101.473911, 38.704022",5
00AK,small_airport,Lowell Field,450.0,,US,US-AK,ANCHOR POINT,00AK,,00AK,"-151.695999146, 59.94919968",5
00AL,small_airport,Epps Airpark,820.0,,US,US-AL,HARVEST,00AL,,00AL,"-86.77030181884766, 34.86479949951172",5
00AS,small_airport,Fulton Airport,1100.0,,US,US-OK,ALEX,00AS,,00AS,"-97.8180194, 34.9428028",5
00AZ,small_airport,Cordes Airport,3810.0,,US,US-AZ,CORDES,00AZ,,00AZ,"-112.16500091552734, 34.305599212646484",5
00CA,small_airport,Goldstone /Gts/ Airport,3038.0,,US,US-CA,BARSTOW,00CA,,00CA,"-116.888000488, 35.350498199499995",5
00CL,small_airport,Williams Ag Airport,87.0,,US,US-CA,BIGGS,00CL,,00CL,"-121.763427, 39.427188",5
00FA,small_airport,Grass Patch Airport,53.0,,US,US-FL,BUSHNELL,00FA,,00FA,"-82.21900177001953, 28.64550018310547",5
00FL,small_airport,River Oak Airport,35.0,,US,US-FL,OKEECHOBEE,00FL,,00FL,"-80.96920013427734, 27.230899810791016",5
00GA,small_airport,Lt World Airport,700.0,,US,US-GA,LITHONIA,00GA,,00GA,"-84.06829833984375, 33.76750183105469",5
00ID,small_airport,Delta Shores Airport,2064.0,,US,US-ID,CLARK FORK,00ID,,00ID,"-116.21399688720703, 48.145301818847656",5
00IG,small_airport,Goltl Airport,3359.0,,US,US-KS,MCDONALD,00IG,,00IG,"-101.395994, 39.724028",5
00IL,small_airport,Hammer Airport,840.0,,US,US-IL,POLO,00IL,,00IL,"-89.5604019165039, 41.97840118408203",5
00IS,small_airport,Hayenga's Cant Find Farms Airport,820.0,,US,US-IL,KINGS,00IS,,00IS,"-89.1229019165039, 40.02560043334961",5
00KS,small_airport,Hayden Farm Airport,1100.0,,US,US-KS,GARDNER,00KS,,00KS,"-94.93049621582031, 38.72779846191406",5
00KY,small_airport,Robbins Roost Airport,1265.0,,US,US-KY,STANFORD,00KY,,00KY,"-84.61969757080078, 37.409400939941406",5
00LS,small_airport,Lejeune Airport,12.0,,US,US-LA,ESTERWOOD,00LS,,00LS,"-92.42939758300781, 30.13629913330078",5
00MD,small_airport,Slater Field,45.0,,US,US-MD,FEDERALSBURG,00MD,,00MD,"-75.75379943847656, 38.75709915161133",5
00MN,small_airport,Battle Lake Municipal Airport,1365.0,,US,US-MN,BATTLE LAKE,00MN,,00MN,"-95.70030212402344, 46.29999923706055",5
00MO,small_airport,Cooper Flying Service Airport,970.0,,US,US-MO,ALBA,00MO,,00MO,"-94.412399291992, 37.202800750732",5
00N,small_airport,Bucks Airport,105.0,,US,US-NJ,BRIDGETON,00N,,00N,"-75.1852035522461, 39.473201751708984",5
00NC,small_airport,North Raleigh Airport,348.0,,US,US-NC,LOUISBURG,00NC,,00NC,"-78.37139892578125, 36.085201263427734",5
00NY,small_airport,Weiss Airfield,1000.0,,US,US-NY,WEST BLOOMFIELD,00NY,,00NY,"-77.49970245361328, 42.90010070800781",5
00OH,small_airport,Exit 3 Airport,785.0,,US,US-OH,WAUSEON,00OH,,00OH,"-84.14219665527344, 41.59090042114258",5
00OK,small_airport,Gull Bay Landing Airport,960.0,,US,US-OK,SANDSPRINGS,00OK,,00OK,"-96.217693, 36.198598",5
00PN,small_airport,Ferrell Field,1301.0,,US,US-PA,MERCER,00PN,,00PN,"-80.211111, 41.2995",5
00S,small_airport,Mc Kenzie Bridge State Airport,1620.0,,US,US-OR,MC KENZIE BRIDGE,00S,,00S,"-122.088996887, 44.183200836199994",5
00SC,small_airport,Flying O Airport,150.0,,US,US-SC,SUMTER,00SC,,00SC,"-80.26719665527344, 34.0093994140625",5
00SD,small_airport,Homan Field,1590.0,,US,US-SD,GARY,00SD,,00SD,"-96.498897, 44.809158",5
00TN,small_airport,Ragsdale Road Airport,1100.0,,US,US-TN,MANCHESTER,00TN,,00TN,"-85.95359802246094, 35.515899658203125",5
00TS,small_airport,Alpine Range Airport,670.0,,US,US-TX,EVERMAN,00TS,,00TS,"-97.24199676513672, 32.607601165771484",5
00VA,small_airport,Vaughan Airport,551.0,,US,US-VA,ALTON,00VA,,00VA,"-78.9991684, 36.57600021",5
00VI,small_airport,Groundhog Mountain Airport,2680.0,,US,US-VA,HILLSVILLE,00VI,,00VI,"-80.49949645996094, 36.663299560546875",5
00W,small_airport,Lower Granite State Airport,719.0,,US,US-WA,COLFAX,00W,,00W,"-117.44300079346, 46.673500061035",5
00WA,small_airport,Howell Airport,150.0,,US,US-WA,LONGBRANCH,00WA,,00WA,"-122.77200317382812, 47.17839813232422",5
00WI,small_airport,Northern Lite Airport,860.0,,US,US-WI,WAUPACA,00WI,,00WI,"-89.05010223388672, 44.304298400878906",5
00WN,small_airport,Hawks Run Airport,2900.0,,US,US-WA,ASOTIN,00WN,,00WN,"-117.2490005493164, 46.25",5
00WV,small_airport,Lazy J. Aerodrome,2060.0,,US,US-WV,BEVERLY,00WV,,00WV,"-79.86609649658203, 38.82889938354492",5
00XS,small_airport,L P Askew Farms Airport,3110.0,,US,US-TX,O'DONNELL,00XS,,00XS,"-101.93399810791016, 33.03340148925781",5
01A,small_airport,Purkeypile Airport,1950.0,,US,US-AK,PURKEYPILE,01A,,01A,"-152.27000427246094, 62.943599700927734",5
01AL,small_airport,Ware Island Airport,344.0,,US,US-AL,CLANTON,01AL,,01AL,"-86.51390075683594, 32.94599914550781",5
01CL,small_airport,Swansboro Country Airport,2594.0,,US,US-CA,PLACERVILLE,01CL,,01CL,"-120.73400115966797, 38.79990005493164",5
01FA,small_airport,Rybolt Ranch Airport,55.0,,US,US-FL,ORLANDO,01FA,,01FA,"-81.14420318603516, 28.589399337768555",5
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19.0,,US,US-FL,GENEVA,01FL,,01FL,"-81.1592025756836, 28.78190040588379",5
01GE,small_airport,The Farm Airport,375.0,,US,US-GA,WRIGHTSVILLE,01GE,,01GE,"-82.77110290527344, 32.674400329589844",5
01IA,small_airport,Stender Airport,725.0,,US,US-IA,MAYSVILLE,01IA,,01IA,"-90.74130249023438, 41.66109848022461",5
01ID,small_airport,Lava Hot Springs Airport,5268.0,,US,US-ID,LAVA HOT SPRINGS,01ID,,01ID,"-112.031998, 42.6082",5
01II,small_airport,Myers Field,950.0,,US,US-IN,LIZTON,01II,,01II,"-86.50669860839844, 39.8849983215332",5
01IS,small_airport,William E. Koenig Airport,670.0,,US,US-IL,DOW,01IS,,01IS,"-90.31819915771484, 39.01620101928711",5
01J,small_airport,Hilliard Airpark,59.0,,US,US-FL,HILLIARD,01J,,01J,"-81.90570068359375, 30.68630027770996",5
01K,small_airport,Caldwell Municipal Airport,1157.0,,US,US-KS,CALDWELL,01K,,01K,"-97.5864028930664, 37.03609848022461",5
01KS,small_airport,Flying N Ranch Airport,1485.0,,US,US-KS,LOST SPRINGS,01KS,,01KS,"-97.00330352783203, 38.54059982299805",5
