i94port_valid_code,i94port_city_name,i94port_state_code
SPF,BLACK HILLS,SPEARFISH
HON,HOWES REGIONAL ARPT - HURON,SD
SAI,SAIPAN,SPN
TYS,MC GHEE TYSON - ALCOA,TN
MEM,MEMPHIS,TN
NSV,NASHVILLE,TN
TRI,TRI CITY ARPT,TN
ADS,ADDISON AIRPORT- ADDISON,TX
ADT,AMISTAD DAM,TX
ANZ,ANZALDUAS,TX
AUS,AUSTIN,TX
BEA,BEAUMONT,TX
BBP,BIG BEND PARK,TX (BPS)
SCC,BP SPEC COORD. CTR,TX
BTC,BP TACTICAL UNIT,TX
BOA,BRIDGE OF AMERICAS,TX
BRO,BROWNSVILLE,TX
CRP,CORPUS CHRISTI,TX
DAL,DALLAS,TX
DLR,DEL RIO,TX
DNA,DONNA,TX
EGP,EAGLE PASS,TX
ELP,EL PASO,TX
FAB,FABENS,TX
FAL,FALCON HEIGHTS,TX
FTH,FORT HANCOCK,TX
AFW,FORT WORTH ALLIANCE,TX
FPT,FREEPORT,TX
GAL,GALVESTON,TX
HLG,HARLINGEN,TX
HID,HIDALGO,TX
HOU,HOUSTON,TX
SGR,HULL FIELD,SUGAR LAND ARPT
LLB,JUAREZ-LINCOLN BRIDGE,TX
LCB,LAREDO COLUMBIA BRIDGE,TX
LRN,LAREDO NORTH,TX
LAR,LAREDO,TX
LSE,LOS EBANOS,TX
IND,LOS INDIOS,TX
LOI,LOS INDIOS,TX
MRS,MARFA,TX (BPS)
MCA,MCALLEN,TX
MAF,ODESSA REGIONAL,TX
PDN,PASO DEL NORTE,TX
PBB,PEACE BRIDGE,NY
PHR,PHARR,TX
PAR,PORT ARTHUR,TX
ISB,PORT ISABEL,TX
POE,PORT OF EL PASO,TX
PRE,PRESIDIO,TX
PGR,PROGRESO,TX
RIO,RIO GRANDE CITY,TX
ROM,ROMA,TX
SNA,SAN ANTONIO,TX
SNN,SANDERSON,TX
VIB,VETERAN INTL BRIDGE,TX
YSL,YSLETA,TX
CHA,CHARLOTTE AMALIE,VI
CHR,CHRISTIANSTED,VI
CRU,CRUZ BAY,ST JOHN
FRK,FREDERIKSTED,VI
STT,ST THOMAS,VI
LGU,CACHE AIRPORT - LOGAN,UT
SLC,SALT LAKE CITY,UT
CHO,ALBEMARLE CHARLOTTESVILLE,VA
DAA,DAVISON AAF - FAIRFAX CNTY,VA
HOP,HOPEWELL,VA
HEF,MANASSAS,VA #ARPT
NWN,NEWPORT,VA
NOR,NORFOLK,VA
RCM,RICHMOND,VA
ABS,ALBURG SPRINGS,VT
ABG,ALBURG,VT
BEB,BEEBE PLAIN,VT
BEE,BEECHER FALLS,VT
BRG,BURLINGTON,VT
CNA,CANAAN,VT
DER,DERBY LINE,VT (I-91)
DLV,DERBY LINE,VT (RT. 5)
ERC,EAST RICHFORD,VT
HIG,HIGHGATE SPRINGS,VT
MOR,MORSES LINE,VT
NPV,NEWPORT,VT
NRT,NORTH TROY,VT
NRN,NORTON,VT
PIV,PINNACLE ROAD,VT
RIF,RICHFORT,VT
STA,ST ALBANS,VT
SWB,SWANTON,VT (BP - SECTOR HQ)
WBE,WEST BERKSHIRE,VT
ABE,ABERDEEN,WA
ANA,ANACORTES,WA
BEL,BELLINGHAM,WA
BLI,BELLINGHAM,WASHINGTON #INTL
BLA,BLAINE,WA
BWA,BOUNDARY,WA
CUR,CURLEW,WA (BPS)
DVL,DANVILLE,WA
EVE,EVERETT,WA
FER,FERRY,WA
FRI,FRIDAY HARBOR,WA
FWA,FRONTIER,WA
KLM,KALAMA,WA
LAU,LAURIER,WA
LON,LONGVIEW,WA
MET,METALINE FALLS,WA
MWH,MOSES LAKE GRANT COUNTY ARPT,WA
NEA,NEAH BAY,WA
NIG,NIGHTHAWK,WA
OLY,OLYMPIA,WA
ALC,ALCAN,AK
ANC,ANCHORAGE,AK
BAR,BAKER AAF - BAKER ISLAND,AK
DAC,DALTONS CACHE,AK
PIZ,DEW STATION PT LAY DEW,AK
DTH,DUTCH HARBOR,AK
EGL,EAGLE,AK
FRB,FAIRBANKS,AK
HOM,HOMER,AK
HYD,HYDER,AK
JUN,JUNEAU,AK
5KE,KETCHIKAN,AK
KET,KETCHIKAN,AK
MOS,MOSES POINT INTERMEDIATE,AK
NIK,NIKISKI,AK
NOM,NOM,AK
PKC,POKER CREEK,AK
ORI,PORT LIONS SPB,AK
SKA,SKAGWAY,AK
SNP,ST. PAUL ISLAND,AK
TKI,TOKEEN,AK
WRA,WRANGELL,AK
HSV,MADISON COUNTY - HUNTSVILLE,AL
MOB,MOBILE,AL
LIA,LITTLE ROCK,AR (BPS)
ROG,ROGERS ARPT,AR
DOU,DOUGLAS,AZ
LUK,LUKEVILLE,AZ
NAC,NACO,AZ
NOG,NOGALES,AZ
PHO,PHOENIX,AZ
POR,PORTAL,AZ
SLU,SAN LUIS,AZ
SAS,SASABE,AZ
TUC,TUCSON,AZ
